transaction_id,account_id,timestamp,amount,transaction_type,sender_bank,receiver_bank,location,merchant_category,is_international,hour_of_day,day_of_week,is_suspicious,aml_flag
4e1438c0-5f49-48ff-b0d7-93612281da9f,NG6618926823,2026-03-09 01:06:07.495078,10454.35,pos_payment,GTBank,Sterling Bank,Rivers,electronics,False,1,0,0,clean
3787f79f-5e1e-45ab-8145-a718b37d0824,NG8737025391,2026-03-09 01:06:07.495078,63476.94,ussd_transfer,First Bank,Kuda Bank,Ogun,fuel_station,False,1,0,0,clean
4b541c79-fc54-494f-94df-e48c916fbffd,NG8854238082,2026-03-09 01:06:07.495078,34909.1,transfer,PalmPay,Stanbic IBTC,Oyo,transfer,False,1,0,1,velocity
c20b1156-78c0-46b6-bb98-1d276080e1a1,NG7333678472,2026-03-09 01:06:07.495078,12839.97,pos_payment,First Bank,Access Bank,Oyo,fuel_station,False,1,0,0,clean
7d953ef4-cdb6-4e98-8a1e-68932b346a95,NG6554972315,2026-03-09 01:06:07.495078,33617.09,bill_payment,Sterling Bank,UBA,Lagos,fuel_station,False,1,0,0,clean
abf9edc3-e59a-4ac8-9f9c-f2ff29222fd1,NG8293453178,2026-03-09 01:06:07.495078,16400.03,mobile_top_up,First Bank,Wema Bank,Enugu,transport,False,1,0,0,clean
208fdf34-7237-416d-a121-607d839fcf9b,NG9623534576,2026-03-09 01:06:07.495078,120653.23,bill_payment,PalmPay,Carbon,Rivers,utility,False,1,0,0,clean
686ba05a-4eb1-42b0-8a75-f6bd4a14b942,NG9929101065,2026-03-09 01:06:07.495078,22177.77,transfer,Carbon,GTBank,Lagos,transfer,True,1,0,1,velocity
327270ed-6f70-4c10-b0c6-c2ccd986970e,NG8493451569,2026-03-09 01:06:07.495078,16567.23,merchant_payment,First Bank,First Bank,Delta,restaurant,False,1,0,0,clean
46c18af9-14f2-4252-94ba-d93028e60a75,NG6241752544,2026-03-09 01:06:07.495078,1834654.92,ussd_transfer,Wema Bank,UBA,Kaduna,transfer,False,1,0,1,unusual_hours
ba35493e-37d0-4f70-8d0d-2e31fee6e377,NG8168204967,2026-03-09 01:06:07.495078,4029547.36,ussd_transfer,Access Bank,Kuda Bank,Kano,transfer,True,1,0,1,unusual_hours
e2b7c796-2bdb-4972-92ce-7426f6339ad4,NG8184602688,2026-03-09 01:06:07.495078,22809.03,airtime_purchase,OPay,Wema Bank,Ogun,electronics,False,1,0,0,clean
75d8654b-cb2a-4986-a2ac-3b0aa816c1fe,NG5067116918,2026-03-09 01:06:07.495078,24424.48,ussd_transfer,Stanbic IBTC,Flutterwave,Enugu,pharmacy,False,1,0,0,clean
08819b10-8e82-4ff5-b470-09acccee58b1,NG4633987776,2026-03-09 01:06:07.495078,16150.6,transfer,Flutterwave,Stanbic IBTC,Abuja,utility,False,1,0,0,clean
aeb5cc50-5461-4954-98dc-bd42f198e8b5,NG8949781901,2026-03-09 01:06:07.495078,901000.0,ussd_transfer,Moniepoint,Zenith Bank,Ogun,transfer,False,1,0,1,round_tripping
3fd6c7b5-0646-40ea-a6e3-9110de473a3d,NG9894264595,2026-03-09 01:06:07.495078,2979191.35,transfer,PalmPay,PalmPay,Abuja,transfer,True,1,0,1,unusual_hours
8547a8a0-2aca-4743-a87a-bdcd38ae00d0,NG9623534576,2026-03-09 02:06:07.495078,5426.91,bill_payment,Sterling Bank,OPay,Oyo,electronics,False,2,0,0,clean
1aa6cd1a-06cc-4284-9b72-32900dced4ad,NG6124453431,2026-03-09 02:06:07.495078,1381651.73,ussd_transfer,Moniepoint,Zenith Bank,Abuja,transfer,False,2,0,1,unusual_hours
5e9c5dc0-7f86-4ab3-93b1-614346459c9f,NG2178884276,2026-03-09 02:06:07.495078,2721.5,merchant_payment,OPay,Kuda Bank,Anambra,electronics,False,2,0,0,clean
88713487-7b2c-4834-baef-a136c9268d72,NG6241752544,2026-03-09 02:06:07.495078,10470.8,atm_withdrawal,OPay,Wema Bank,Delta,transport,False,2,0,0,clean
d47015bb-707d-482e-8e74-cb8f605e5b1f,NG6583444930,2026-03-09 02:06:07.495078,42724.33,merchant_payment,UBA,Sterling Bank,Oyo,utility,False,2,0,0,clean
4c827c63-d1c9-4bbc-a90f-3d9b295868ac,NG6317189421,2026-03-09 02:06:07.495078,500000.0,ussd_transfer,Access Bank,PalmPay,Lagos,pharmacy,False,2,0,0,clean
6d451deb-f55f-4bfd-87e0-f4af53531f89,NG8261111839,2026-03-09 02:06:07.495078,33166.01,merchant_payment,Flutterwave,Zenith Bank,Enugu,restaurant,False,2,0,0,clean
5b7a4bf2-b58b-4288-9a57-af11f7da085d,NG5212581851,2026-03-09 02:06:07.495078,3600.25,atm_withdrawal,Moniepoint,Sterling Bank,Abuja,clothing,False,2,0,0,clean
a43b6354-611b-4f46-b66b-ec192dce3128,NG1106456634,2026-03-09 02:06:07.495078,133.76,bill_payment,Flutterwave,Sterling Bank,Enugu,clothing,False,2,0,0,clean
ab58d7b0-e752-4bc8-8264-d5dbe69a4430,NG7533932947,2026-03-09 02:06:07.495078,13443.44,merchant_payment,Moniepoint,Wema Bank,Enugu,restaurant,False,2,0,0,clean
